scenario,dimension,segment,signals,pnl,expectancy,max_drawdown
delay_1s_only,side,NO,210,3.980900277130051,0.018956667986333577,1.223349764452352
delay_1s_only,side,YES,128,3.6268383808855487,0.02833467485066835,0.4760268500158054
delay_1s_only,external_move_regime,high,12,1.015804068118717,0.08465033900989309,0.1563938350857348
delay_1s_only,external_move_regime,low,267,4.165262540292288,0.015600234233304448,1.3209317912659433
delay_1s_only,external_move_regime,medium,59,2.4266720496045946,0.041130034739060926,0.5018432620471037
delay_1s_only,spread_regime,high,31,0.7928321908920636,0.025575231964260117,0.3702983136656226
delay_1s_only,spread_regime,low,27,0.09332847912407394,0.003456610337928665,0.5075722645585943
delay_1s_only,spread_regime,medium,280,6.721577987999462,0.024005635671426648,1.2596846996748314
delay_1s_only,quote_age_regime,high,26,1.9673898179447638,0.07566883915172168,0.44000000000000006
delay_1s_only,quote_age_regime,low,33,0.8193360883367903,0.024828366313236067,0.3676343034058545
delay_1s_only,quote_age_regime,medium,279,4.821012751734045,0.017279615597613065,1.4663021047294673
delay_2s_only,session_number,1,130,-0.47556574760707654,-0.0036581980585159734,2.10817495515721
delay_2s_only,session_number,2,42,0.7081276531265948,0.016860182217299877,0.7815525383737887
delay_2s_only,session_number,3,166,2.2047653017561353,0.013281718685277924,0.7539695044780307
delay_2s_only,asset,BTC,76,1.2588503522170182,0.016563820423908134,0.7374973301903773
delay_2s_only,asset,ETH,80,0.9088838916627002,0.011361048645783753,0.8570827689197287
delay_2s_only,asset,SOL,182,0.2695929633959352,0.0014812800186589845,1.2418163566770166
delay_2s_only,side,NO,210,0.4483991298660308,0.0021352339517430037,1.5399218646582753
delay_2s_only,side,YES,128,1.9889280774096227,0.015538500604762678,1.0649397316679292
delay_2s_only,external_move_regime,high,12,0.8429739102608167,0.07024782585506806,0.2253772061090641
delay_2s_only,external_move_regime,low,267,0.4580333871388605,0.0017154808507073426,1.9652458651410403
delay_2s_only,external_move_regime,medium,59,1.1363199098759764,0.01925965948942333,0.6866831965681295
delay_2s_only,spread_regime,high,31,0.06160644611847042,0.001987304713499046,0.590862216912988
delay_2s_only,spread_regime,low,27,-0.26537196201630286,-0.009828591185788995,0.6935887089805391
delay_2s_only,spread_regime,medium,280,2.641092723173486,0.009432474011333878,1.6994061182888238
delay_2s_only,quote_age_regime,high,26,1.9063727650318298,0.07332202942430115,0.44000000000000006
delay_2s_only,quote_age_regime,low,33,0.37749890863915575,0.011439360867853205,0.41864375598554404
delay_2s_only,quote_age_regime,medium,279,0.15345553360466802,0.0005500198337084875,2.5750318992393892
extreme_execution,session_number,1,130,-4.13605216510562,-0.03181578588542785,4.157217382165438
