trial,sample_size,wins,win_rate,pnl_before_slippage,pnl_after_slippage,expectancy_after_slippage,max_drawdown,signals_per_hour
789,172,84,0.4883720930232558,0.4885,-2.9515,-0.017159883720930236,3.0515,7.16666655045718
790,172,83,0.48255813953488375,-0.032,-3.472,-0.020186046511627906,3.542,7.16666655045718
791,172,89,0.5174418604651163,0.734,-2.706,-0.015732558139534884,2.771,7.16666655045718
792,172,86,0.5,0.158,-3.282,-0.01908139534883721,3.372,7.16666655045718
793,172,71,0.4127906976744186,-1.0515,-4.4915,-0.02611337209302326,4.6465,7.16666655045718
794,172,82,0.47674418604651164,0.2395,-3.2005,-0.018607558139534883,3.3605,7.16666655045718
795,172,77,0.4476744186046512,-0.4375,-3.8775,-0.022543604651162796,4.0375,7.16666655045718
796,172,82,0.47674418604651164,0.423,-3.017,-0.01754069767441861,3.162,7.16666655045718
797,172,88,0.5116279069767442,0.3035,-3.1365,-0.018235465116279076,3.1665,7.16666655045718
798,172,96,0.5581395348837209,1.777,-1.663,-0.009668604651162793,1.778,7.16666655045718
799,172,83,0.48255813953488375,0.0585,-3.3815,-0.019659883720930235,3.4215,7.16666655045718
800,172,87,0.5058139534883721,0.121,-3.319,-0.01929651162790698,3.379,7.16666655045718
801,172,90,0.5232558139534884,1.768,-1.672,-0.009720930232558144,1.722,7.16666655045718
802,172,91,0.5290697674418605,0.7285,-2.7115,-0.01576453488372093,2.9565,7.16666655045718
803,172,71,0.4127906976744186,-1.5615,-5.0015,-0.02907848837209302,5.0015,7.16666655045718
804,172,77,0.4476744186046512,-0.2825,-3.7225,-0.021642441860465114,3.9525,7.16666655045718
805,172,78,0.45348837209302323,-0.5075,-3.9475,-0.022950581395348835,3.9475,7.16666655045718
806,172,73,0.42441860465116277,-1.4565,-4.8965,-0.028468023255813952,4.8965,7.16666655045718
807,172,87,0.5058139534883721,0.462,-2.978,-0.017313953488372093,3.068,7.16666655045718
808,172,86,0.5,0.2965,-3.1435,-0.01827616279069768,3.4785,7.16666655045718
809,172,87,0.5058139534883721,0.241,-3.199,-0.01859883720930233,3.199,7.16666655045718
810,172,89,0.5174418604651163,1.5775,-1.8625,-0.010828488372093022,1.8925,7.16666655045718
811,172,82,0.47674418604651164,0.764,-2.676,-0.015558139534883718,2.941,7.16666655045718
812,172,93,0.5406976744186046,1.361,-2.079,-0.01208720930232558,2.114,7.16666655045718
813,172,79,0.45930232558139533,-0.271,-3.711,-0.02157558139534884,3.871,7.16666655045718
814,172,75,0.436046511627907,-0.4735,-3.9135,-0.022752906976744185,4.0535,7.16666655045718
815,172,80,0.46511627906976744,-0.1745,-3.6145,-0.021014534883720935,3.6395,7.16666655045718
816,172,81,0.47093023255813954,-0.2015,-3.6415,-0.02117151162790698,3.6415,7.16666655045718
817,172,79,0.45930232558139533,-0.3255,-3.7655,-0.021892441860465118,3.821,7.16666655045718
818,172,86,0.5,-0.0025,-3.4425,-0.020014534883720934,3.5725,7.16666655045718
819,172,79,0.45930232558139533,-0.612,-4.052,-0.023558139534883723,4.092,7.16666655045718
820,172,89,0.5174418604651163,0.7605,-2.6795,-0.015578488372093028,2.7095,7.16666655045718
821,172,82,0.47674418604651164,0.3235,-3.1165,-0.01811918604651163,3.224,7.16666655045718
822,172,84,0.4883720930232558,0.443,-2.997,-0.017424418604651163,3.057,7.16666655045718
823,172,94,0.5465116279069767,2.171,-1.269,-0.007377906976744189,1.661,7.16666655045718
824,172,87,0.5058139534883721,0.7755,-2.6645,-0.015491279069767444,2.7645,7.16666655045718
825,172,82,0.47674418604651164,0.07,-3.37,-0.019593023255813958,3.44,7.16666655045718
826,172,77,0.4476744186046512,-0.38,-3.82,-0.022209302325581395,3.82,7.16666655045718
827,172,80,0.46511627906976744,-0.1335,-3.5735,-0.02077616279069767,3.844,7.16666655045718
828,172,94,0.5465116279069767,1.509,-1.931,-0.011226744186046508,2.591,7.16666655045718
